"","MarketID","MarketSize","LocationID","AgeOfStore","Promotion","Week","SalesInThousands","Sales_Prom1","Sales_Prom2"
"93",3,"Large",205,19,1,1,83.02,83.02,83.1
"94",3,"Large",205,19,1,2,90.3,90.3,99.06
"95",3,"Large",205,19,1,3,85.18,85.18,82.54
"96",3,"Large",205,19,1,4,89.77,89.77,93.82
"97",3,"Large",206,11,1,1,82.64,82.64,86.43
"98",3,"Large",206,11,1,2,82.89,82.89,90.76
"99",3,"Large",206,11,1,3,82.13,82.13,85.74
"101",3,"Large",207,1,1,1,87.7,87.7,92.37
"103",3,"Large",207,1,1,3,81.58,81.58,81.07
"104",3,"Large",207,1,1,4,94.21,94.21,89.33
"105",3,"Large",208,1,1,1,96.48,96.48,95.46
"106",3,"Large",208,1,1,2,84.13,84.13,82.76
"107",3,"Large",208,1,1,3,91.98,91.98,85.87
"108",3,"Large",208,1,1,4,81.72,81.72,77.41
"109",3,"Large",209,1,1,1,93.71,93.71,103.43
"112",3,"Large",209,1,1,4,97.61,97.61,91.21
"114",3,"Large",210,19,1,2,88.07,88.07,87.2
"116",3,"Large",210,19,1,4,89.44,89.44,88.5
"117",3,"Large",211,13,2,1,88.64,93.74,88.64
"118",3,"Large",211,13,2,2,81.37,84.28,81.37
"119",3,"Large",211,13,2,3,82.14,76.46,82.14
"120",3,"Large",211,13,2,4,79.64,68.95,79.64
"121",3,"Large",212,3,1,1,84.34,84.34,85.13
"122",3,"Large",212,3,1,2,87.9,87.9,84.52
"123",3,"Large",212,3,1,3,76.12,76.12,78.13
"124",3,"Large",212,3,1,4,82.72,82.72,78.3
"129",3,"Large",214,5,1,1,91.6,91.6,92.7
"130",3,"Large",214,5,1,2,80.61,80.61,83.38
"131",3,"Large",214,5,1,3,93.86,93.86,90.69
"132",3,"Large",214,5,1,4,83.43,83.43,76.03
"133",3,"Large",215,7,2,1,82.65,81.87,82.65
"134",3,"Large",215,7,2,2,77.39,75.56,77.39
"135",3,"Large",215,7,2,3,80.83,88.93,80.83
"136",3,"Large",215,7,2,4,80.75,84,80.75
"137",3,"Large",216,4,1,1,94.89,94.89,91.5
"138",3,"Large",216,4,1,2,74.75,74.75,76.45
"141",3,"Large",217,5,1,1,91.61,91.61,94.7
"142",3,"Large",217,5,1,2,79.02,79.02,70.06
"144",3,"Large",217,5,1,4,82.88,82.88,87.01
"145",3,"Large",218,2,1,1,99.65,99.65,100.89
"146",3,"Large",218,2,1,2,88.64,88.64,89.97
"147",3,"Large",218,2,1,3,86.96,86.96,85.2
"149",3,"Large",219,7,2,1,66.22,66.03,66.22
"151",3,"Large",219,7,2,3,83.4,80.37,83.4
"153",3,"Large",220,3,1,1,87.08,87.08,92.15
"154",3,"Large",220,3,1,2,89.32,89.32,90.74
"157",3,"Large",221,23,2,1,79.53,77.24,79.53
"158",3,"Large",221,23,2,2,74.03,73.11,74.03
"159",3,"Large",221,23,2,3,78.53,76.56,78.53
"160",3,"Large",221,23,2,4,76.71,71.75,76.71
"162",3,"Large",222,6,1,2,85.71,85.71,76.02
"164",3,"Large",222,6,1,4,91.29,91.29,90.56
"167",4,"Small",301,1,2,3,54.49,54.7,54.49
"168",4,"Small",301,1,2,4,61.25,63.08,61.25
"169",4,"Small",302,7,1,1,51.47,51.47,49.58
"170",4,"Small",302,7,1,2,53.47,53.47,49.72
"173",4,"Small",303,9,1,1,55.94,55.94,58.84
"175",4,"Small",303,9,1,3,56.19,56.19,53.55
"176",4,"Small",303,9,1,4,62.06,62.06,59.46
"177",4,"Small",304,3,1,1,54.01,54.01,52.24
"178",4,"Small",304,3,1,2,63.48,63.48,61.59
"179",4,"Small",304,3,1,3,61.96,61.96,68.11
"181",4,"Small",305,2,2,1,47.89,50.28,47.89
"183",4,"Small",305,2,2,3,49.11,40.21,49.11
"184",4,"Small",305,2,2,4,52.88,50.49,52.88
"185",4,"Small",306,13,1,1,53.79,53.79,54.37
"187",4,"Small",306,13,1,3,57.1,57.1,68.15
"188",4,"Small",306,13,1,4,65.12,65.12,64.15
"189",4,"Small",307,7,2,1,46.98,39.53,46.98
"190",4,"Small",307,7,2,2,53.41,47.4,53.41
"191",4,"Small",307,7,2,3,36.17,35.49,36.17
"192",4,"Small",307,7,2,4,55.98,67.06,55.98
"194",4,"Small",308,28,2,2,58.01,54.03,58.01
"195",4,"Small",308,28,2,3,47.93,57.37,47.93
"197",4,"Small",309,8,1,1,62.16,62.16,61
"199",4,"Small",309,8,1,3,51.72,51.72,50.56
"200",4,"Small",309,8,1,4,59.64,59.64,61.55
"201",5,"Medium",401,5,1,1,52.23,52.23,50.44
"202",5,"Medium",401,5,1,2,51.68,51.68,54.23
"203",5,"Medium",401,5,1,3,46.22,46.22,54.73
"204",5,"Medium",401,5,1,4,46.03,46.03,46.95
"206",5,"Medium",402,25,2,2,50.28,47.58,50.28
"207",5,"Medium",402,25,2,3,52.72,49.66,52.72
"208",5,"Medium",402,25,2,4,38.3,37.6,38.3
"210",5,"Medium",403,19,2,2,42.56,42.23,42.56
"211",5,"Medium",403,19,2,3,44.64,43.89,44.64
"212",5,"Medium",403,19,2,4,45.11,43.42,45.11
"213",5,"Medium",404,8,2,1,42.15,47.47,42.15
"214",5,"Medium",404,8,2,2,42.59,48.87,42.59
"215",5,"Medium",404,8,2,3,49.56,56.07,49.56
"218",5,"Medium",405,4,2,2,48.25,47.38,48.25
"219",5,"Medium",405,4,2,3,46.42,42.59,46.42
"221",5,"Medium",406,3,2,1,45.3,38.41,45.3
"224",5,"Medium",406,3,2,4,44.67,47.57,44.67
"225",5,"Medium",407,6,1,1,45.56,45.56,46.28
"227",5,"Medium",407,6,1,3,37.84,37.84,36.6
"228",5,"Medium",407,6,1,4,50.07,50.07,45.5
"229",5,"Medium",408,9,2,1,47.33,48.05,47.33
"230",5,"Medium",408,9,2,2,45.42,50.65,45.42
"232",5,"Medium",408,9,2,4,40.26,36.65,40.26
"233",5,"Medium",409,14,2,1,43.27,48.39,43.27
"234",5,"Medium",409,14,2,2,48.33,50.41,48.33
"236",5,"Medium",409,14,2,4,51.5,52.33,51.5
"237",5,"Medium",410,11,1,1,49.95,49.95,49.94
"238",5,"Medium",410,11,1,2,55.11,55.11,62.69
"239",5,"Medium",410,11,1,3,55.28,55.28,50.17
"240",5,"Medium",410,11,1,4,54.7,54.7,49.9
"242",5,"Medium",411,23,1,2,55.59,55.59,60.96
"244",5,"Medium",411,23,1,4,51.91,51.91,48.54
"246",5,"Medium",412,6,1,2,62.63,62.63,56.09
"247",5,"Medium",412,6,1,3,49.08,49.08,48.7
"248",5,"Medium",412,6,1,4,58.04,58.04,66.8
"249",5,"Medium",413,1,2,1,46.26,41.86,46.26
"250",5,"Medium",413,1,2,2,47.71,41.01,47.71
"251",5,"Medium",413,1,2,3,54.09,54.3,54.09
"255",5,"Medium",414,1,1,3,51.16,51.16,60.54
"257",5,"Medium",415,12,1,1,50.59,50.59,43.57
"258",5,"Medium",415,12,1,2,48.64,48.64,44.7
"259",5,"Medium",415,12,1,3,50.55,50.55,46.27
"261",6,"Medium",501,6,1,1,24.75,24.75,19.2
"262",6,"Medium",501,6,1,2,41.47,41.47,43.43
"264",6,"Medium",501,6,1,4,34.33,34.33,35.65
"265",6,"Medium",502,19,2,1,31.94,37.11,31.94
"266",6,"Medium",502,19,2,2,29.64,23.44,29.64
"269",6,"Medium",503,2,2,1,36.7,38.66,36.7
"272",6,"Medium",503,2,2,4,37.2,34.68,37.2
"273",6,"Medium",504,4,1,1,42.16,42.16,44.57
"275",6,"Medium",504,4,1,3,46.98,46.98,51.79
"278",6,"Medium",505,1,2,2,38.41,31.63,38.41
"279",6,"Medium",505,1,2,3,37.9,37.51,37.9
"280",6,"Medium",505,1,2,4,44.84,43.51,44.84
"281",6,"Medium",506,12,2,1,37.45,32.93,37.45
"283",6,"Medium",506,12,2,3,31.85,30.49,31.85
"285",6,"Medium",507,5,2,1,38.65,40.26,38.65
"286",6,"Medium",507,5,2,2,17.34,13.53,17.34
"287",6,"Medium",507,5,2,3,33.14,36.29,33.14
"288",6,"Medium",507,5,2,4,23.44,28.81,23.44
"289",6,"Medium",508,5,1,1,37.17,37.17,41.38
"290",6,"Medium",508,5,1,2,30.52,30.52,30.82
"291",6,"Medium",508,5,1,3,32.51,32.51,28.76
"292",6,"Medium",508,5,1,4,29.12,29.12,32.34
"294",6,"Medium",509,8,1,2,41.25,41.25,36.66
"297",6,"Medium",510,7,2,1,32.77,33.74,32.77
"298",6,"Medium",510,7,2,2,30.26,35.01,30.26
"299",6,"Medium",510,7,2,3,27.55,21.04,27.55
"301",6,"Medium",511,24,1,1,47.48,47.48,54.81
"303",6,"Medium",511,24,1,3,43.29,43.29,50.98
"305",6,"Medium",512,4,1,1,35.3,35.3,37.77
"306",6,"Medium",512,4,1,2,35.86,35.86,42.76
"307",6,"Medium",512,4,1,3,49.3,49.3,49.12
"308",6,"Medium",512,4,1,4,30.81,30.81,34.86
"310",6,"Medium",513,7,1,2,41.71,41.71,35.17
"311",6,"Medium",513,7,1,3,41.1,41.1,36.22
"312",6,"Medium",513,7,1,4,40.97,40.97,39.82
"313",6,"Medium",514,6,1,1,41.1,41.1,33.57
"314",6,"Medium",514,6,1,2,41.56,41.56,35
"315",6,"Medium",514,6,1,3,36.39,36.39,33.78
"316",6,"Medium",514,6,1,4,39.67,39.67,37.95
"318",6,"Medium",515,8,1,2,40.13,40.13,35.85
"319",6,"Medium",515,8,1,3,32.18,32.18,32.41
"321",7,"Medium",601,7,1,1,49.01,49.01,48.02
"323",7,"Medium",601,7,1,3,37.14,37.14,32.63
"324",7,"Medium",601,7,1,4,42.82,42.82,40.23
"325",7,"Medium",602,4,1,1,47.22,47.22,45.25
"326",7,"Medium",602,4,1,2,35.24,35.24,43.18
"328",7,"Medium",602,4,1,4,43.15,43.15,49.94
"329",7,"Medium",603,4,2,1,40.71,36.46,40.71
"330",7,"Medium",603,4,2,2,38.26,31.14,38.26
"331",7,"Medium",603,4,2,3,41.44,40.65,41.44
"334",7,"Medium",604,11,1,2,48.35,48.35,61.24
"336",7,"Medium",604,11,1,4,44.2,44.2,36.09
"337",7,"Medium",605,8,1,1,46.14,46.14,52.94
"338",7,"Medium",605,8,1,2,41.12,41.12,40.38
"339",7,"Medium",605,8,1,3,45.03,45.03,39.97
"340",7,"Medium",605,8,1,4,38.85,38.85,37.15
"341",7,"Medium",606,8,1,1,41.96,41.96,44.05
"343",7,"Medium",606,8,1,3,38.51,38.51,41.96
"344",7,"Medium",606,8,1,4,43.51,43.51,45.31
"345",7,"Medium",607,3,2,1,49.39,44.37,49.39
"349",7,"Medium",608,18,1,1,53.38,53.38,63.61
"352",7,"Medium",608,18,1,4,43.24,43.24,46.82
"355",7,"Medium",609,9,1,3,43.78,43.78,41.24
"356",7,"Medium",609,9,1,4,56.9,56.9,62.4
"358",7,"Medium",610,4,1,2,47.92,47.92,46.27
"360",7,"Medium",610,4,1,4,46.66,46.66,49.46
"361",7,"Medium",611,11,1,1,40.43,40.43,34.78
"362",7,"Medium",611,11,1,2,51.15,51.15,44.25
"363",7,"Medium",611,11,1,3,42.5,42.5,39.66
"364",7,"Medium",611,11,1,4,52.76,52.76,47.54
"366",7,"Medium",612,1,1,2,52.21,52.21,55.92
"367",7,"Medium",612,1,1,3,40.17,40.17,42.63
"371",7,"Medium",613,18,1,3,56.86,56.86,48.53
"372",7,"Medium",613,18,1,4,47.51,47.51,41.1
"374",7,"Medium",614,8,2,2,37.29,33.57,37.29
"376",7,"Medium",614,8,2,4,33.35,26.85,33.35
"379",7,"Medium",615,1,2,3,48.32,48.02,48.32
"380",7,"Medium",615,1,2,4,41.54,38.93,41.54
"381",8,"Medium",701,1,1,1,53.56,53.56,49.52
"382",8,"Medium",701,1,1,2,49.72,49.72,56.1
"383",8,"Medium",701,1,1,3,48.77,48.77,55.29
"384",8,"Medium",701,1,1,4,46.84,46.84,50.73
"385",8,"Medium",702,13,1,1,51.82,51.82,42.03
"386",8,"Medium",702,13,1,2,45.02,45.02,46.93
"388",8,"Medium",702,13,1,4,51.32,51.32,48.72
"389",8,"Medium",703,4,1,1,52.85,52.85,45.93
"390",8,"Medium",703,4,1,2,40.84,40.84,40.99
"391",8,"Medium",703,4,1,3,64.45,64.45,73.41
"392",8,"Medium",703,4,1,4,44.43,44.43,47
"394",8,"Medium",704,27,1,2,46.06,46.06,46.76
"395",8,"Medium",704,27,1,3,55.46,55.46,56.43
"396",8,"Medium",704,27,1,4,51.41,51.41,56.18
"398",8,"Medium",705,22,1,2,49.98,49.98,51.09
"399",8,"Medium",705,22,1,3,49.5,49.5,50.74
"400",8,"Medium",705,22,1,4,47.35,47.35,44.64
"402",8,"Medium",706,17,1,2,52.05,52.05,57.3
"406",8,"Medium",707,5,1,2,45.57,45.57,42.89
"408",8,"Medium",707,5,1,4,50.52,50.52,53.6
"409",8,"Medium",708,15,2,1,32.61,34,32.61
"411",8,"Medium",708,15,2,3,37.32,39.25,37.32
"412",8,"Medium",708,15,2,4,41.22,43.36,41.22
"413",8,"Medium",709,1,2,1,39.73,27.53,39.73
"415",8,"Medium",709,1,2,3,40.16,33.9,40.16
"416",8,"Medium",709,1,2,4,41.37,48.78,41.37
"418",8,"Medium",710,24,1,2,52.39,52.39,47.46
"419",8,"Medium",710,24,1,3,42.15,42.15,49.75
"420",8,"Medium",710,24,1,4,49.63,49.63,56.9
"421",8,"Medium",711,1,1,1,54.95,54.95,52.05
"423",8,"Medium",711,1,1,3,46.49,46.49,45.07
"424",8,"Medium",711,1,1,4,56.84,56.84,65.09
"425",8,"Medium",712,9,1,1,48.06,48.06,49.01
"427",8,"Medium",712,9,1,3,44.19,44.19,43.93
"428",8,"Medium",712,9,1,4,49.52,49.52,47.64
"430",9,"Medium",801,3,1,2,54.38,54.38,56.01
"431",9,"Medium",801,3,1,3,57.14,57.14,65.74
"432",9,"Medium",801,3,1,4,49.91,49.91,53.04
"433",9,"Medium",802,9,2,1,48.76,50.27,48.76
"434",9,"Medium",802,9,2,2,44.14,44.36,44.14
"435",9,"Medium",802,9,2,3,58.1,64.06,58.1
"436",9,"Medium",802,9,2,4,44.16,42.85,44.16
"438",9,"Medium",803,10,1,2,53.78,53.78,51.59
"439",9,"Medium",803,10,1,3,43.91,43.91,38.65
"440",9,"Medium",803,10,1,4,52.41,52.41,65.15
"441",9,"Medium",804,1,1,1,50.54,50.54,53.44
"442",9,"Medium",804,1,1,2,58.43,58.43,57.89
"443",9,"Medium",804,1,1,3,59.77,59.77,63.58
"444",9,"Medium",804,1,1,4,60.44,60.44,64.49
"446",9,"Medium",805,6,1,2,49.38,49.38,46.93
"447",9,"Medium",805,6,1,3,63.98,63.98,60.68
"450",9,"Medium",806,5,1,2,56.16,56.16,56.95
"451",9,"Medium",806,5,1,3,45.77,45.77,50.74
"452",9,"Medium",806,5,1,4,46.47,46.47,50.08
"453",9,"Medium",807,1,2,1,46.02,49.22,46.02
"455",9,"Medium",807,1,2,3,51.68,48.86,51.68
"456",9,"Medium",807,1,2,4,55.91,54.51,55.91
"458",9,"Medium",808,20,1,2,59.8,59.8,68.89
"459",9,"Medium",808,20,1,3,60.97,60.97,68.63
"460",9,"Medium",808,20,1,4,64.14,64.14,80.98
"462",9,"Medium",809,9,1,2,54.58,54.58,54.39
"463",9,"Medium",809,9,1,3,52.64,52.64,52.31
"464",9,"Medium",809,9,1,4,45.43,45.43,49.54
"465",9,"Medium",810,13,1,1,49.3,49.3,41.76
"466",9,"Medium",810,13,1,2,61.8,61.8,64.11
"468",9,"Medium",810,13,1,4,55.2,55.2,53.95
"470",10,"Large",901,7,2,2,39.36,35.89,39.36
"471",10,"Large",901,7,2,3,47.2,49.71,47.2
"472",10,"Large",901,7,2,4,53.66,56.52,53.66
"473",10,"Large",902,1,1,1,61.53,61.53,56.54
"474",10,"Large",902,1,1,2,59.17,59.17,58.31
"475",10,"Large",902,1,1,3,63.73,63.73,64.83
"476",10,"Large",902,1,1,4,61.77,61.77,63.12
"477",10,"Large",903,7,1,1,51.89,51.89,52.91
"478",10,"Large",903,7,1,2,51.17,51.17,43.63
"479",10,"Large",903,7,1,3,54.33,54.33,56.02
"480",10,"Large",903,7,1,4,50.05,50.05,56.69
"481",10,"Large",904,10,2,1,51.09,56.66,51.09
"482",10,"Large",904,10,2,2,54.82,64.75,54.82
"483",10,"Large",904,10,2,3,44.16,40.16,44.16
"484",10,"Large",904,10,2,4,53.95,53.78,53.95
"485",10,"Large",905,2,1,1,54.34,54.34,62.87
"486",10,"Large",905,2,1,2,60.24,60.24,69.79
"487",10,"Large",905,2,1,3,56.39,56.39,52.65
"490",10,"Large",906,13,2,2,51.73,50.23,51.73
"491",10,"Large",906,13,2,3,51.35,51.95,51.35
"494",10,"Large",907,10,2,2,55.02,57.3,55.02
"495",10,"Large",907,10,2,3,45.35,53.18,45.35
"497",10,"Large",908,3,2,1,43.59,43.53,43.59
"498",10,"Large",908,3,2,2,46.03,57.5,46.03
"499",10,"Large",908,3,2,3,47.22,48.5,47.22
"500",10,"Large",908,3,2,4,51.41,61.34,51.41
"502",10,"Large",909,1,1,2,62.72,62.72,69.79
"503",10,"Large",909,1,1,3,66.66,66.66,66.72
"504",10,"Large",909,1,1,4,64.66,64.66,75.4
"505",10,"Large",910,1,1,1,66.34,66.34,57.72
"506",10,"Large",910,1,1,2,60.59,60.59,55.27
"509",10,"Large",911,1,2,1,55.39,54.46,55.39
"511",10,"Large",911,1,2,3,58.26,55.32,58.26
"514",10,"Large",912,6,2,2,44.84,38.73,44.84
"515",10,"Large",912,6,2,3,55.12,52.31,55.12
"520",10,"Large",913,24,1,4,63.58,63.58,62.98
"521",10,"Large",914,9,2,1,44.7,52.32,44.7
"522",10,"Large",914,9,2,2,43.44,49.19,43.44
"523",10,"Large",914,9,2,3,52.36,45.9,52.36
"525",10,"Large",915,3,1,1,53.51,53.51,55.07
"526",10,"Large",915,3,1,2,49.76,49.76,56.72
"527",10,"Large",915,3,1,3,68.31,68.31,60.96
"529",10,"Large",916,7,2,1,43.61,51.19,43.61
"531",10,"Large",916,7,2,3,51.52,53.32,51.52
"533",10,"Large",917,14,1,1,53.5,53.5,55.4
"534",10,"Large",917,14,1,2,56.34,56.34,65.31
"535",10,"Large",917,14,1,3,51.83,51.83,48.35
"536",10,"Large",917,14,1,4,50.2,50.2,52.29
"537",10,"Large",918,6,1,1,49.62,49.62,54.33
"539",10,"Large",918,6,1,3,50.11,50.11,44.08
"542",10,"Large",919,2,1,2,62.99,62.99,63.81
"543",10,"Large",919,2,1,3,57.2,57.2,58.2
"544",10,"Large",919,2,1,4,64.34,64.34,66.03
"545",10,"Large",920,14,2,1,50.2,46.18,50.2
"546",10,"Large",920,14,2,2,45.75,37.08,45.75
"547",10,"Large",920,14,2,3,44.29,44.9,44.29
